OrderNum,WT,LabelledComponent,OrderDescription,WorkOrderStartDatetime,DowntimeStartDatetime,DowntimeEndDatetime,SCADADowntimeTotal,SCADADowntimeCount
473283310,WT20,unclassified,WTG20C ACCUMULATOR TOP UP,25/05/2017 08:00,22/05/2017 08:30,03/06/2017 12:53,233.6980556,3
473283371,WT20,other_parts,WTG20C REPLACE COOLANT BLEED VALVE,09/06/2017 12:45,25/05/2017 07:26,09/06/2017 13:16,235.1669445,3
473283471,WT19,unclassified,WTG19C WORK IN A4,26/05/2017 12:00,25/05/2017 07:34,26/05/2017 14:59,13.75277778,2
473283472,WT19,unclassified,WTG19C BACKUP BATTERY ERROR,26/05/2017 13:00,25/05/2017 07:34,26/05/2017 14:59,13.75277778,2
473283566,WT20,yaw,WTG20C INVESTIGATE YAW GEAR DAMAGE,25/05/2017 10:00,22/05/2017 08:30,03/06/2017 12:53,233.6980556,3
473283941,WT19,other_parts,WTG19C WORK ON LIGHTS,26/05/2017 11:00,25/05/2017 07:34,26/05/2017 14:59,13.75277778,2
473283943,WT19,other_parts,WTG19C WORK ON COOLANT SYSTEM,26/05/2017 09:30,25/05/2017 07:34,26/05/2017 14:59,13.75277778,2
473284488,WT15,unclassified,WTG15B SMOKE IN INVERTER,29/05/2017 08:00,28/05/2017 09:38,29/05/2017 09:55,24.27361111,1
473284489,WT24,pitch,WTG24C PITCH PAWL C FEEDBACK,30/05/2017 08:30,28/05/2017 12:37,30/05/2017 11:19,46.69583333,1
473288480,WT18,other_parts,WTG 18B WORK ON THE LIGHTS AND FITTINGS,02/06/2017 15:00,31/05/2017 07:14,02/06/2017 14:01,14.16916667,2
473288999,WT05,lift,05A REPLACE LIFT CABLE BUCKET,09/06/2017 14:00,05/06/2017 07:54,09/06/2017 13:07,11.87583333,2
473290915,WT18,yaw,WTG18B YAW CONVERTER ERRORS,08/06/2017 08:30,02/06/2017 07:18,08/06/2017 15:25,45.66305555,2
473290917,WT20,nacelle,WTG20C NACELLE RADIAL ALIGNMENT,08/06/2017 14:00,25/05/2017 07:26,08/06/2017 15:56,229.2233334,2
473296647,WT10,lift,WTG 10B REPLACE LIFT BUCKET,16/06/2017 15:30,14/06/2017 06:55,16/06/2017 15:12,22.95805555,3
473296648,WT16,gearbox,WTG 16B WORK IN THE A21 CABNET,16/06/2017 08:00,16/06/2017 07:11,16/06/2017 14:32,7.348055556,1
473297426,WT10,unclassified,WTG 10B TEST OF SERVICE SOCKETS,16/06/2017 16:00,14/06/2017 06:55,16/06/2017 15:12,22.95805555,3
473302592,WT12,unclassified,WTG12B ACCUMULATOR CAPACITY ERROR,23/06/2017 08:30,23/06/2017 07:39,23/06/2017 15:09,7.509166667,1
473303985,WT17,lift,WTG17B REPLACE LIFT BUCKET,26/06/2017 14:30,23/06/2017 08:03,23/06/2017 15:04,7.009444444,1
473308013,WT09,other_parts,WTG 09 A FAULT FIND TOR FAN,03/07/2017 12:30,29/06/2017 00:15,29/06/2017 08:23,8.125555556,1
473308014,WT09,gearbox,WTG 09 WORK IN THE A21 PANEL,03/07/2017 13:30,29/06/2017 00:15,29/06/2017 08:23,8.125555556,1
473309727,WT09,unclassified,WTG 09A FAULT FIND WEATHER STATION,03/07/2017 13:30,29/06/2017 00:15,29/06/2017 08:23,8.125555556,1
473311558,WT01,electrical,WTG01A HV MAINT 2018,08/05/2018 07:45,02/05/2018 08:30,02/05/2018 16:05,7.581388889,1
473311829,WT07,electrical,WTG07A HV MAINT 2018,02/05/2018 13:00,02/05/2018 12:57,03/05/2018 15:11,26.23083333,1
473311927,WT16,electrical,WTG16B HV MAINT 2018,14/05/2018 07:45,08/05/2018 07:30,09/05/2018 14:28,14.93222222,2
473311929,WT18,electrical,WTG18B HV MAINT 2018,15/05/2018 08:00,10/05/2018 07:44,10/05/2018 15:50,8.103333333,1
473311961,WT19,electrical,WTG19C HV MAINT 2018,13/05/2018 12:30,11/05/2018 07:38,11/05/2018 13:04,5.43,1
473311963,WT20,electrical,WTG20C HV MAINT 2018,14/05/2018 12:00,11/05/2018 07:22,11/05/2018 15:18,7.936666667,1
473315653,WT10,unclassified,WTG 10B QA WALK DOWN AND CHECK,13/07/2017 08:00,13/07/2017 07:42,13/07/2017 12:55,5.221666667,1
473315654,WT10,blade,WTG 10A CHECK OF BLADE BOLTS AFTER 500 H,13/07/2017 11:00,13/07/2017 07:42,13/07/2017 12:55,5.221666667,1
473316840,WT01,unclassified,WTG 01A STAT INSPECTION OF HYDROLICS IN,18/07/2017 14:00,18/07/2017 07:25,18/07/2017 15:25,7.995,1
473317804,WT15,other_parts,WTG15B WORK ON LIGHTS,18/07/2017 13:30,14/07/2017 07:11,18/07/2017 15:14,22.16416667,3
473317805,WT15,other_parts,WTG15B COOLANT TOP UP,18/07/2017 14:30,14/07/2017 07:11,18/07/2017 15:14,22.16416667,3
473318116,WT03,lift,WTG 02A PSSR INSPECTION FOR CRANE,08/09/2017 10:00,04/09/2017 07:10,08/09/2017 13:07,32.59916667,5
473318117,WT03,nacelle,WTG 02A PSSR INSPECTION IN HUB,08/09/2017 11:00,04/09/2017 07:10,08/09/2017 13:07,32.59916667,5
473319294,WT12,blade,WTG12B ACCUM PRESSURE CHECK BLADE C,20/07/2017 08:00,20/07/2017 07:18,20/07/2017 14:29,7.195555556,1
473321645,WT26,electrical,WTG26C INVESTIGATE MAIN BREAKER TRIP J,25/07/2017 09:30,24/07/2017 21:08,25/07/2017 14:14,17.10027778,1
473322156,WT26,nacelle,WTG26C REPLACE HUB MIC,25/07/2017 11:30,24/07/2017 21:08,25/07/2017 14:14,17.10027778,1
473322411,WT04,lift,04A REPLACE LIFT BUCKET,25/07/2017 12:00,25/07/2017 08:24,25/07/2017 13:36,5.208055556,1
473322866,WT11,lift,WTG 11B FAULT FIND CRANE HOIST,26/07/2017 11:15,26/07/2017 07:18,26/07/2017 12:50,5.532777778,1
473323308,WT12,lift,WTG 12B REPLACE LIFT BUCKET,26/07/2017 12:15,20/07/2017 07:18,20/07/2017 14:29,7.195555556,1
473324882,WT26,electrical,WTG26C REPLACE MAIN BREAKER,01/08/2017 11:30,24/07/2017 21:08,27/07/2017 07:20,24.15972222,2
473326606,WT11,lift,WTG11B REPLACE LIFT BUCKET,02/08/2017 15:30,31/07/2017 06:59,02/08/2017 14:52,12.31166667,2
473329906,WT20,yaw,WTG 20C REPLACE ALL YAW GEARS,14/08/2017 08:00,14/08/2017 07:10,14/08/2017 17:36,10.43805556,1
473330115,WT14,unclassified,Teesside 14B - IMP,14/08/2017 06:00,08/08/2017 07:16,08/08/2017 12:49,5.546388889,1
473333396,WT07,unclassified,TWL07A CARRY OUT PSSR ON HYDROLICS IN HU,15/08/2017 11:00,15/08/2017 08:20,15/08/2017 15:57,7.620277778,1
473333619,WT11,unclassified,WTG 11B FAULT FIND HIGH GRID FILTER TEMP,15/08/2017 08:30,11/08/2017 07:06,15/08/2017 05:30,26.64722223,3
473333845,WT14,gearbox,WTG 14 GEARBOX INSPECTION,20/09/2017 16:00,19/09/2017 06:56,20/09/2017 13:06,13.48333333,2
473334236,WT13,unclassified,TWL13B CARRY OUT PSSR ON HYDROLICS IN HU,16/08/2017 13:15,16/08/2017 07:43,16/08/2017 14:38,6.906666667,1
473334237,WT13,lift,13B PSSR TESTING ON CRANE AND BRAKE HDL,16/08/2017 12:15,16/08/2017 07:43,16/08/2017 14:38,6.906666667,1
473334290,WT13,lift,TWL13B REPLACE LIFT BUCKET,16/08/2017 10:00,16/08/2017 07:43,16/08/2017 14:38,6.906666667,1
473334411,WT13,yaw,TWL13 REPLACE YAW MOTOR,16/08/2017 14:30,16/08/2017 07:43,16/08/2017 14:38,6.906666667,1
473334413,WT13,other_parts,TWL13 WORK ON LIGHTS,16/08/2017 15:30,16/08/2017 07:43,16/08/2017 14:38,6.906666667,1
473336474,WT21,lift,WTG21C PSSR INSPECTION FOR CRANE,20/08/2017 08:00,20/08/2017 07:12,20/08/2017 12:59,5.796388889,1
473336476,WT21,nacelle,WTG21C INSPECTION OF HUB PSSR,20/08/2017 11:00,20/08/2017 07:12,20/08/2017 12:59,5.796388889,1
473336677,WT16,lift,WTG16B PSSR INSPECTION FOR CRANE,21/08/2017 11:00,21/08/2017 08:00,21/08/2017 15:44,7.731111111,1
473336678,WT16,nacelle,WTG16B INSPECTION OF HUB PSSR,21/08/2017 13:45,21/08/2017 08:00,21/08/2017 15:44,7.731111111,1
473336679,WT17,nacelle,WTG17B INSPECTION OF HUB PSSR,22/08/2017 13:30,22/08/2017 07:48,22/08/2017 15:24,7.600833333,1
473336680,WT17,lift,WTG17B PSSR INSPECTION FOR CRANE,22/08/2017 10:30,22/08/2017 07:48,22/08/2017 15:24,7.600833333,1
473336731,WT18,lift,WTG18B PSSR INSPECTION FOR CRANE,24/08/2017 11:15,24/08/2017 08:07,24/08/2017 14:56,6.815277778,1
473336732,WT18,nacelle,WTG18B INSPECTION OF HUB PSSR,24/08/2017 13:15,24/08/2017 08:07,24/08/2017 14:56,6.815277778,1
473336733,WT19,nacelle,WTG19C INSPECTION OF HUB PSSR,05/09/2017 11:45,05/09/2017 07:25,05/09/2017 14:20,6.9125,1
473336734,WT19,lift,WTG19C PSSR INSPECTION FOR CRANE,05/09/2017 10:45,05/09/2017 07:25,05/09/2017 14:20,6.9125,1
473336747,WT21,lift,WTG21C REPLACE LIFT BUCKET,20/08/2017 13:30,20/08/2017 07:12,20/08/2017 12:59,5.796388889,1
473336876,WT21,unclassified,22C-RTF-17029-NITROGEN PRESSURIZED SIGN,20/08/2017 14:30,20/08/2017 07:12,20/08/2017 12:59,5.796388889,1
473336877,WT21,other_parts,21C-RTF-16076-02 SELF CLOSING HATCH,20/08/2017 14:45,20/08/2017 07:12,20/08/2017 12:59,5.796388889,1
473337773,WT17,electrical,WTG17B OFFLINE FILTER PRESSURE SENSOR,22/08/2017 12:30,22/08/2017 07:48,22/08/2017 15:24,7.600833333,1
473337776,WT20,lift,WTG20C PSSR INSPECTION FOR CRANE,28/08/2017 11:00,28/08/2017 06:58,28/08/2017 13:10,6.204444444,1
473337777,WT20,nacelle,WTG20C INSPECTION OF HUB PSSR,28/08/2017 13:00,28/08/2017 06:58,28/08/2017 13:10,6.204444444,1
473337778,WT22,nacelle,WTG22C INSPECTION OF HUB PSSR,29/08/2017 14:15,29/08/2017 06:50,29/08/2017 14:43,7.87,1
473337779,WT22,lift,WTG26C PSSR INSPECTION FOR CRANE,29/08/2017 12:15,29/08/2017 06:50,29/08/2017 14:43,7.87,1
473340752,WT08,unclassified,WTG08A REPLACE BUSBARS,29/08/2017 08:10,25/08/2017 07:10,29/08/2017 14:34,15.04611111,2
473341007,WT22,nacelle,RTF-15111-01-INSTALLATION OF HUB MIC,29/08/2017 10:30,29/08/2017 06:50,29/08/2017 14:43,7.87,1
473341008,WT27,nacelle,WTG27C RTF-15111-01-INSTALL HUB MIC,22/12/2017 08:45,22/12/2017 08:44,22/12/2017 14:06,5.363333333,1
473341217,WT14,converter,TWL14B FAULT FIND CONVERTER,26/08/2017 14:30,18/08/2017 13:47,27/08/2017 11:35,212.545,2
473341263,WT14,converter,WTG14B REPLACE NO 3 CONVERTER,26/08/2017 14:30,18/08/2017 13:47,27/08/2017 11:35,212.545,2
473342268,WT23,nacelle,WTG23C PSSR INSPECTION OF HUB,30/08/2017 12:00,30/08/2017 06:58,30/08/2017 14:39,7.6925,1
473342270,WT23,lift,WTG23C PSSR INSPECTION OF CRANE AND BRAK,30/08/2017 10:15,30/08/2017 06:58,30/08/2017 14:39,7.6925,1
473343435,WT08,other_parts,WTG08A WORK ON LIGHTS,30/08/2017 15:30,25/08/2017 07:10,30/08/2017 15:18,22.97166667,3
473343788,WT24,nacelle,WTG24C INSPECTION OF HUB PSSR,01/09/2017 08:00,31/08/2017 12:15,01/09/2017 11:53,23.63527778,1
473343818,WT23,unclassified,WTG23C REPLACE BUS BARS IN A4,30/08/2017 14:45,30/08/2017 06:58,30/08/2017 14:39,7.6925,1
473343820,WT25,nacelle,WTG25C INSPECTION OF HUB PSSR,02/09/2017 11:30,02/09/2017 07:17,02/09/2017 12:58,5.676944444,1
473343901,WT25,lift,WTG25C PSSR INSPECTION FOR CRANE,02/09/2017 10:15,02/09/2017 07:17,02/09/2017 12:58,5.676944444,1
473343902,WT26,lift,WTG26C PSSR INSPECTION FOR CRANE,04/09/2017 11:00,04/09/2017 07:27,04/09/2017 16:09,8.714166667,1
473343903,WT26,nacelle,WTG26C INSPECTION OF HUB PSSR,04/09/2017 11:30,04/09/2017 07:27,04/09/2017 16:09,8.714166667,1
473345195,WT24,other_parts,WTG24C COOLANT MOTOR VALVE OP CHECK,01/09/2017 12:30,31/08/2017 12:15,01/09/2017 11:53,23.63527778,1
473346407,WT26,converter,WTG26C WORK IN A6 - HUB MODULE,04/09/2017 14:00,04/09/2017 07:27,04/09/2017 16:09,8.714166667,1
473346541,WT19,other_parts,WTG19C WORK ON LIGHTS,05/09/2017 13:45,05/09/2017 07:25,05/09/2017 14:20,6.9125,1
473346542,WT19,other_parts,WTG19C SNAGGING 2017,05/09/2017 13:15,05/09/2017 07:25,05/09/2017 14:20,6.9125,1
473346651,WT03,lift,WTG03A REPLACE LIFT BUCKET,05/09/2017 14:45,04/09/2017 07:10,05/09/2017 12:23,13.32222222,2
473348045,WT04,nacelle,WTG04A PSSR INSPECTION OF HUB,12/09/2017 13:00,12/09/2017 10:04,12/09/2017 17:42,7.636944444,1
473348046,WT04,lift,WTG04A PSSR INSPECTION OF CRANE AND BRAK,12/09/2017 10:45,12/09/2017 10:04,12/09/2017 17:42,7.636944444,1
473349370,WT03,electrical,WTG 03A FAULT FIND VD SENSOR,08/09/2017 12:15,04/09/2017 07:10,08/09/2017 13:07,32.59916667,5
473351143,WT04,unclassified,WTG 04A REPLACE BACK UP BATTERY IN A3,12/09/2017 14:15,12/09/2017 10:04,12/09/2017 17:42,7.636944444,1
473355623,WT17,gearbox,17B RTF-16112-YAW GEAR PINION CHECK,20/09/2017 14:45,20/09/2017 07:48,20/09/2017 13:57,6.148888889,1
473355630,WT13,blade,WTG13B EXTERNAL INSPECTION OF BLADES,26/09/2017 11:00,20/09/2017 07:15,25/09/2017 15:29,26.12777778,4
473355681,WT14,blade,WTG14B EXTERNAL INSPECTION OF BLADES,26/09/2017 14:00,19/09/2017 06:56,22/09/2017 14:18,27.98805556,4
473355917,WT14,unclassified,WTG14B UPS FAULT,19/09/2017 08:00,19/09/2017 06:56,19/09/2017 14:55,7.975555556,1
473356767,WT17,unclassified,RTF-16104-TEST OF SERVICE SOCKETS,20/09/2017 13:30,20/09/2017 07:48,20/09/2017 13:57,6.148888889,1
473358260,WT21,converter,WTG 21C FAULT FIND CONVERTER PROBLEMS,23/09/2017 08:45,22/09/2017 15:26,23/09/2017 08:34,17.12277778,1
473358300,WT13,lift,WTG13B REPLACE LIFT DOOR,22/09/2017 15:00,20/09/2017 07:15,22/09/2017 14:35,18.65194445,3
473358375,WT14,lift,WTG14B REPLACE LIFT BUCKET,22/09/2017 14:30,19/09/2017 06:56,22/09/2017 14:18,27.98805556,4
473358482,WT21,other_parts,WTG 21C TOP UP COOLENT PRESSURE,23/09/2017 11:45,22/09/2017 15:26,23/09/2017 08:34,17.12277778,1
473358843,WT13,other_parts,WTG13B WORK ON LIGHTS AND FITTINGS,25/09/2017 15:45,20/09/2017 07:15,25/09/2017 15:29,26.12777778,4
473358844,WT13,yaw,WTG13B REPAIR YAW LEAK,25/09/2017 14:30,20/09/2017 07:15,25/09/2017 15:29,26.12777778,4
473359803,WT26,other_parts,"WTG26C FAULT FIND BLAD A,B,C VALVE ERROR",26/09/2017 08:30,25/09/2017 13:50,26/09/2017 11:56,22.09194444,1
473360982,WT21,lift,WTG21C REPLACE LIFT DOOR HANDLE,28/09/2017 17:00,22/09/2017 15:26,28/09/2017 16:34,47.00944445,5
473361425,WT04,unclassified,WTG04A RTF-16039-UPDATE G2 SAFETY SYSTEM,28/09/2017 08:30,26/09/2017 07:17,28/09/2017 14:22,20.745,3
473361428,WT04,other_parts,WTG04A WORK IN A3 - REPLACE FAN,28/09/2017 11:30,26/09/2017 07:17,28/09/2017 14:22,20.745,3
473361429,WT21,other_parts,WTG21C SNAGGING 2017,28/09/2017 17:15,22/09/2017 15:26,28/09/2017 16:34,47.00944445,5
473362043,WT21,unclassified,WTG21C INVESTIGATE CONTROLLER FAULT,28/09/2017 17:00,22/09/2017 15:26,28/09/2017 16:34,47.00944445,5
473372844,WT02,other_parts,WTG 02A FAULT FIND HIGH OIL TEMP,17/10/2017 14:30,16/10/2017 18:25,17/10/2017 16:39,22.23083333,1
473372847,WT02,gearbox,WTG 02A WORK ON GEAR OIL PUMP,17/10/2017 15:30,16/10/2017 18:25,17/10/2017 16:39,22.23083333,1
473378120,WT22,other_parts,WTG26C VALVE 35,27/10/2017 08:00,27/10/2017 07:34,27/10/2017 14:45,7.195555556,1
473378274,WT22,lift,WTG22C PSSR INSPECTION FOR BRAKE & CRANE,27/10/2017 09:30,27/10/2017 07:34,27/10/2017 14:45,7.195555556,1
473378980,WT22,other_parts,WTG22C SNAGGING 2017,27/10/2017 11:30,27/10/2017 07:34,27/10/2017 14:45,7.195555556,1
473379511,WT02,unclassified,WTG02A UPS BYPASS ERROR,31/10/2017 10:15,29/10/2017 18:31,01/11/2017 16:28,69.96166667,1
